region,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Almhult,-206,-1102,-314,78,1787,-2090,-39,837,679,176,-1,689,624,-172,437,507,436,559,810,1848,3265,571,579,1928
Markaryd,919,-18,2197,-802,-1016,2712,1697,2096,3629,738,969,1657,363,861,390,1140,143,736,586,853,2996,1550,1243,4146
Vaxjo,-50,-195,290,194,165,-702,-1058,463,2041,1717,1031,1049,1846,734,617,790,482,934,1555,1742,1169,18,1842,2434
Ljungby,497,3,477,12083,8,918,381,861,2150,712,817,1509,1868,512,1380,2191,134,239,1040,3071,-80,3415,3469,6534
Hogsby,-1482,118,-712,79,-4379,-1671,76,207,3436,-468,-1690,2502,2825,1077,1241,2259,2281,1931,2452,3480,2154,877,2709,4510
Torsas,78,-606,126,100,-1497,-1032,-437,1277,1823,385,111,212,750,688,893,415,871,1271,3833,1137,118,779,622,2412
Morbylanga,-456,-39,375,31,-476,-99,-156,1253,594,477,-393,924,746,190,849,40,419,1184,615,1171,3103,2062,1981,3961
Hultsfred,-772,200,461,405,-587,-160,-730,1629,1992,629,1724,999,475,272,1564,2017,-4361,1242,433,1153,1926,2246,3569,6357
Monsteras,50,-270,633,894,241,543,703,2083,2914,2566,1579,2724,3378,3255,2522,1920,1220,2341,4572,1355,-702,-180,1286,4906
Emmaboda,-827,304,1412,1007,403,593,70,481,1173,-259,925,545,578,694,930,-111,-950,114,3603,147,140,1046,3274,2171
Kalmar,-522,3358,-206,-369,416,353,-144,572,666,2776,564,1329,1204,-1385,1975,896,181,951,2505,2015,1506,1546,1716,5418
Nybro,-1335,-1094,206,96,-1759,2756,415,623,1114,187,-648,1683,702,977,740,531,-1057,1085,1194,3708,1145,-1055,81,2612
Oskarshamn,-39,32358,-2182,25585,-7071,-650,769,1701,2943,-836,-13704,2864,1377,-1817,730,-11423,581,1102,3101,5042,1222,5788,1465,9057
Vastervik,-321,-1373,747,16,-272,-126,-173,273,921,333,51,-296,114,-1645,1893,3036,1777,1396,2036,2083,350,922,706,2280
Vimmerby,156,652,8818,1079,-330,426,393,1404,1307,-161,13,-249,-208,1699,2706,750,-1493,1172,1212,510,1744,1423,1852,4096
Borgholm,-992,-1621,-155,74,2423,179,587,206,871,672,86,528,277,60,-810,1113,1041,2726,6133,1121,1620,-1108,4102,5706
Gotland,-591,-590,-375,-868,513,25,-218,913,921,704,293,372,227,-138,416,2007,137,-715,917,1674,2032,1225,1671,2296
Olofstrom,-1281,-8015,-1681,10946,5247,1620,-1407,851,1061,220,-769,1887,982,438,1034,690,-53,1208,2488,361,-857,1705,983,3124
Karlskrona,608,-426,466,803,386,172,-230,127,493,192,141,-163,782,218,39,336,-147,985,1683,1393,349,850,2121,2601
Ronneby,-1835,-675,-120,176,354,411,262,125,682,-121,-895,778,853,276,1340,494,154,595,906,955,430,383,2643,2252
Karlshamn,-425,-742,-530,-30,-561,126,50,255,1264,1130,1175,1451,2083,1185,1400,1525,-439,63,494,824,-3390,-216,143,2476
Solvesborg,8850,-392,-73,23,-214,2830,88,433,235,455,117,257,703,240,859,1409,-904,61,935,1956,1150,1294,2488,1476
Svalov,762,-156,167,107,271,122,-44,136,522,212,-362,3,244,1110,1036,1008,-389,60,1223,45,397,1609,3356,1617
Staffanstorp,1102,391,958,969,304,2745,866,5504,2552,820,903,1673,1165,2635,1213,2243,-859,-448,797,2636,2571,2830,2320,6509
Burlov,215,1402,478,2580,908,2725,1346,2462,12561,5833,159,2409,2331,734,1284,-56,5900,553,3403,5706,4064,-843,2078,4206
