"region","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Partille",23731,24888,27281,29407,31138,32657,33269,33862,35396,37093,38913,38758,38218,38899,39376,41107,42186,43779,45961,47543,48458,49112,49541,52372
"Ockero",20461,22101,24269,26299,27381,28621,30940,32051,34537,36322,38475,39252,38899,40194,40646,42474,43429,45184,47370,50093,51263,53063,53857,56839
"Stenungsund",23835,25261,27054,28573,29297,31245,31933,33788,35593,37475,39239,39740,40073,41676,41841,43949,44624,46698,48722,50808,51857,53417,53725,55258
"Tjorn",20563,21848,24541,27121,28163,29537,30614,33397,36136,37935,40008,40421,40870,42590,43111,44146,44918,46577,48095,51379,52294,54193,53674,55975
"Orust",20020,21684,23801,25596,26655,27908,29001,31121,33280,35245,36769,38311,39355,41022,41135,43846,43988,46103,47435,51218,52348,52544,51321,52373
"Sotenas",19810,21567,23724,25477,27695,29553,30698,31934,33845,35202,37197,38408,39433,40964,40405,41710,42424,45729,46865,49637,51327,52682,52141,53534
"Munkedal",20327,22357,24308,25352,26473,27281,28359,29912,31778,32758,34499,34604,35347,36033,36541,37552,38220,39648,42319,44393,45130,46194,45497,47865
"Tanum",17919,19663,21508,23227,24113,24944,26347,28678,30690,32159,33501,33672,34476,35360,35552,36643,37534,38825,39881,41645,42470,43494,42942,45348
"Dals-Ed",20093,21495,22766,24405,25733,26831,29620,31304,32610,33519,34476,34481,35000,35751,35230,34831,35231,36385,38611,40077,40222,41797,42205,44729
"Fargelanda",20031,21700,24063,25745,26410,27158,27414,28910,30603,31407,32405,32346,32977,36256,36506,37427,36466,37837,38510,40011,40921,42371,42084,44701
"Ale",22901,24176,26598,28090,29388,30586,31201,31899,33571,34624,36339,37516,38262,39516,39775,40665,41255,42650,43817,45444,46116,47810,47842,50844
"Lerum",23564,24980,27115,29262,30745,31891,32791,33873,35402,36667,38289,38935,39551,40758,41039,42760,43476,45284,46844,48221,48846,50361,50451,52991
"Vargarda",18512,20693,22027,23966,26088,27356,28442,29307,30487,31248,32934,33683,34286,34911,35461,36316,37367,38565,39969,41105,41731,42895,43245,44820
"Bollebygd",22287,23616,25995,27914,29908,30993,31530,31739,33660,35487,37555,38715,38456,39417,40085,41916,42293,43829,44539,45886,45857,48321,49044,51465
"Grastorp",19338,20698,22232,23953,25463,26709,28264,29835,31011,32041,33473,33894,34682,36329,36799,37409,38326,39165,40476,42328,43825,45278,46737,48699
"Essunga",16692,18254,20052,21552,23124,24251,25596,28070,29932,31509,33001,33285,34542,35513,35598,36676,36893,37700,39690,40939,42069,43037,41923,44081
"Karlsborg",20581,22197,23590,24963,26085,27489,28592,29797,31447,32769,35059,35472,35970,37592,38100,38321,39794,41689,41981,43475,44099,45431,44982,46808
"Gullspang",20493,22148,23783,25205,26338,27074,28275,29724,31872,33115,34536,34245,34758,35664,35881,36715,36423,38023,38345,40333,41204,41850,42376,44960
"Tranemo",19595,21332,23207,24732,25747,27365,27500,29212,30927,32465,33949,34829,35432,35742,35625,36577,37201,39495,40292,42756,43590,44962,44922,46893
"Bengtsfors",21800,23281,25400,27898,28039,29024,29736,30887,32750,33599,34277,33761,34052,35320,35372,35712,36449,38298,38554,40031,41220,43355,43604,46127
"Mellerud",19576,20912,22553,24624,25716,26454,28869,29205,30504,31802,33126,33529,34109,35073,34682,35390,35551,35657,36261,38043,39353,40793,40423,43337
"Lilla Edet",21920,23279,25332,27208,28727,29920,30424,31737,33729,34946,36894,37347,38224,38792,39254,39508,39568,40629,41054,42644,44042,46749,46675,48186
"Mark",19954,21495,23288,25073,26219,27204,27505,28822,30681,32000,33476,33863,34374,35569,36088,37194,37830,39449,40699,42164,42944,44366,45152,46727
"Svenljunga",18685,20103,21993,23839,24499,25884,26322,27731,29468,31074,32625,32638,33913,34532,34746,37121,37666,38373,39495,40651,43162,43853,43711,45441
"Herrljunga",18771,20460,22245,24063,25132,26387,27396,30038,32348,33359,34946,35051,35504,36550,37539,38770,38852,39847,40997,43218,43927,45404,45211,47139
"Vara",17647,19161,21077,22359,23275,24145,25419,27233,29165,30357,31835,33000,33772,34431,35433,36492,37079,38178,39088,41549,42152,43483,43099,45416
"Gotene",20100,21959,24294,25349,26144,27019,28996,30628,31918,32806,34049,35157,35617,36912,37835,39125,39440,40430,41368,43487,44560,46867,46669,48670
"Tibro",19070,20135,22563,24113,24961,25341,27199,28365,29648,30913,32627,33346,33500,33943,33749,34281,35529,36757,37659,39353,39983,41254,41023,43251
"Toreboda",18075,19690,21246,22744,23482,24091,24394,26190,28138,29110,30681,30865,32072,32783,33049,33942,34704,35258,36203,37846,39204,40667,40415,44037
"Goteborg",34122,24902,27118,29161,30449,32068,32917,33654,35420,36899,38098,38313,38711,39275,39563,40892,41624,43114,45107,47110,48246,49774,50377,52911
"Molndal",23067,24700,27643,28891,31197,33250,34252,34853,36607,37573,39289,40012,40030,40998,41591,43010,43709,45307,46750,48104,48074,49256,50817,55077
"Kungalv",22913,24314,26277,28101,29324,32368,33539,34602,36472,37337,38891,39520,39883,41480,42159,43740,44957,46568,48514,49616,50000,50721,50544,52258
"Lysekil",21657,24110,26507,28108,29039,30237,30677,32513,34750,36442,37850,38531,38827,40244,40477,41084,42774,44403,45731,46956,48350,50263,51169,52799
"Uddevalla",21845,23481,25439,27100,28090,29208,30635,31603,33310,34254,35794,35847,36274,37351,37554,38322,39639,41446,42601,44360,45535,47181,47074,49157
"Stromstad",19221,21084,22087,23407,25193,26380,28784,29753,30976,32193,33867,33600,34164,35595,34975,35302,36085,37508,38012,39687,40402,41965,41897,44258
"Vanersborg",23031,24518,26770,28475,29824,30879,31814,33506,35276,36788,38395,38672,38633,39418,39309,39317,39676,40540,41837,43598,44598,46025,45905,48198
"Trollhattan",22642,24387,26914,28831,30028,31176,31769,32086,33530,34636,36163,36100,36160,36491,36548,36841,37616,39714,41400,43263,44229,45675,47320,49788
"Alingsas",21862,23568,25428,27274,28917,30061,31425,31958,33497,34966,36208,36666,37063,38352,38572,39627,40322,41913,43573,45900,46232,47390,47284,49808
"Boras",22441,23887,25687,27397,28429,29471,30027,30820,32529,33849,35063,35246,35581,36463,36862,37906,38580,39748,41663,43272,44115,45570,45880,48126
